adc_id,adc_name,drug_status,antibody_name,antigen_id,antigen_name,payload_id,payload_name,payload_identity,payload_target,payload_mechanism,linker_name,activity_id,standard_type,is_potency_endpoint,relation,value_raw,value_numeric,units,is_molar_unit,cell_line,disease_model,source_url,source_html
DRG0AFXBF,Cetuximab-Puromycin,Investigative,Cetuximab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0OWBST,Puromycin,PAY0OWBST,Ribosome (RB),Other,Succinimidyl acetylthiopropionate (SATP),ADCC002235,Half Maximal Inhibitory Concentration (IC50),1,=,37.42,37.42,ug/mL,0,MDA-MB-468 cells,Breast adenocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0AFXBF,data/raw/adcdb_idrblab/adc_details/DRG0AFXBF.html
DRG0ATULB,Laprituximab emtansine,Phase 1 (discontinued),Laprituximab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0VZVPQ,DM1,PAY0VZVPQ,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC002015,Half Maximal Inhibitory Concentration (IC50),1,=,0.25,0.25,nM,1,HNSCC cells,Head and neck squamous cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0ATULB,data/raw/adcdb_idrblab/adc_details/DRG0ATULB.html
DRG0AVDEL,Trastuzumab-PNUEDAGly5,Investigative,Trastuzumab,TAR0THKZD,Receptor tyrosine-protein kinase erbB-2 (HER2),PAY0WKBCR,PNU-159682,PAY0WKBCR,DNA topoisomerase 2-alpha (TOP2A),DNA-damaging,LPETG-Gly5-EDA,ADCC003375,Half Maximal Effective Concentration (EC50),1,=,6.9,6.9,ng/mL,0,Karpas-299 cells,ALK-positive anaplastic large cell lymphoma,https://adcdb.idrblab.net/data/adc/details/DRG0AVDEL,data/raw/adcdb_idrblab/adc_details/DRG0AVDEL.html
DRG0AVDEL,Trastuzumab-PNUEDAGly5,Investigative,Trastuzumab,TAR0THKZD,Receptor tyrosine-protein kinase erbB-2 (HER2),PAY0WKBCR,PNU-159682,PAY0WKBCR,DNA topoisomerase 2-alpha (TOP2A),DNA-damaging,LPETG-Gly5-EDA,ADCC003376,Half Maximal Effective Concentration (EC50),1,<,< 10,10.0,ug/mL,0,L-428 cells,Hodgkin lymphoma,https://adcdb.idrblab.net/data/adc/details/DRG0AVDEL,data/raw/adcdb_idrblab/adc_details/DRG0AVDEL.html
DRG0AWYBA,Trastuzumab DVD-ADC,Investigative,Trastuzumab,TAR0THKZD,Receptor tyrosine-protein kinase erbB-2 (HER2),PAY0QLDVX,Monomethyl auristatin F,PAY0QLDVX,Microtubule (MT),microtubule-disrupting,Hexapeptide linker ASTKGP,ADCC002403,Inhibition rate (100nM),0,=,0,0.0,%,0,MDA-MB-231 cells,Breast adenocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0AWYBA,data/raw/adcdb_idrblab/adc_details/DRG0AWYBA.html
DRG0AWYBA,Trastuzumab DVD-ADC,Investigative,Trastuzumab,TAR0THKZD,Receptor tyrosine-protein kinase erbB-2 (HER2),PAY0QLDVX,Monomethyl auristatin F,PAY0QLDVX,Microtubule (MT),microtubule-disrupting,Hexapeptide linker ASTKGP,ADCC002402,Inhibition rate (100nM),0,=,0,0.0,%,0,MDA-MB-468 cells,Breast adenocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0AWYBA,data/raw/adcdb_idrblab/adc_details/DRG0AWYBA.html
DRG0AWYBA,Trastuzumab DVD-ADC,Investigative,Trastuzumab,TAR0THKZD,Receptor tyrosine-protein kinase erbB-2 (HER2),PAY0QLDVX,Monomethyl auristatin F,PAY0QLDVX,Microtubule (MT),microtubule-disrupting,Hexapeptide linker ASTKGP,ADCC002401,Inhibition rate (100nM),0,>,> 50,50.0,%,0,SK-BR-3 cells,Breast adenocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0AWYBA,data/raw/adcdb_idrblab/adc_details/DRG0AWYBA.html
DRG0BBQSE,Enfortumab vedotin,Approved in 2019,Enfortumab,TAR0MWTFE,Nectin-4 (NECTIN4),PAY0FSXOW,Monomethyl auristatin E,PAY0FSXOW,Microtubule (MT),microtubule-disrupting,Mc-Val-Cit-PABC,ADCC000188,Half Maximal Inhibitory Concentration (IC50),1,=,1.2,1.2,ng/mL,0,PC-3 cells,Prostate carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BBQSE,data/raw/adcdb_idrblab/adc_details/DRG0BBQSE.html
DRG0BBQSE,Enfortumab vedotin,Approved in 2019,Enfortumab,TAR0MWTFE,Nectin-4 (NECTIN4),PAY0FSXOW,Monomethyl auristatin E,PAY0FSXOW,Microtubule (MT),microtubule-disrupting,Mc-Val-Cit-PABC,ADCC000189,Half Maximal Inhibitory Concentration (IC50),1,=,3.4,3.4,ng/mL,0,PC-3 cells,Prostate carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BBQSE,data/raw/adcdb_idrblab/adc_details/DRG0BBQSE.html
DRG0BBQSE,Enfortumab vedotin,Approved in 2019,Enfortumab,TAR0MWTFE,Nectin-4 (NECTIN4),PAY0FSXOW,Monomethyl auristatin E,PAY0FSXOW,Microtubule (MT),microtubule-disrupting,Mc-Val-Cit-PABC,ADCC000190,Half Maximal Inhibitory Concentration (IC50),1,=,4.7,4.7,ng/mL,0,PC-3 cells,Prostate carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BBQSE,data/raw/adcdb_idrblab/adc_details/DRG0BBQSE.html
