split,model,features,folds,mean_average_precision,mean_roc_auc,mean_balanced_accuracy,mean_mcc,mean_log_loss,mean_brier
random_row,global,<global>,5,0.4910,0.5000,0.5000,,0.6085,0.2089
random_row,mechanism_only,payload_mechanism,5,0.6292,0.5828,0.5503,0.1402,0.6003,0.2053
random_row,payload_only,payload_identity,5,0.7974,0.6878,0.6135,0.2706,0.5610,0.1891
random_row,antigen_only,antigen_name,5,0.8306,0.7471,0.6689,0.3406,0.5268,0.1739
random_row,cell_only,cell_line,5,0.8463,0.7501,0.6571,0.2873,0.5187,0.1720
random_row,bio,antigen_name+cell_line,5,0.9021,0.8064,0.7162,0.4367,0.4719,0.1560
random_row,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,5,0.9027,0.8073,0.7091,0.4355,0.4772,0.1575
random_row,bio_plus_payload,antigen_name+cell_line+payload_identity,5,0.9032,0.8102,0.7367,0.4789,0.4968,0.1633
random_row,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,5,0.9010,0.8070,0.7264,0.4495,0.5171,0.1678
payload_group,global,<global>,5,0.7717,0.5000,0.5000,,0.6244,0.2152
payload_group,mechanism_only,payload_mechanism,5,0.7614,0.4861,0.4990,-0.0575,0.6392,0.2209
payload_group,payload_only,payload_identity,5,0.7717,0.5000,0.5000,,0.6818,0.2443
payload_group,antigen_only,antigen_name,5,0.8042,0.6961,0.6208,0.2331,0.6192,0.2096
payload_group,cell_only,cell_line,5,0.8060,0.6635,0.6303,0.2123,0.5912,0.2003
payload_group,bio,antigen_name+cell_line,5,0.8354,0.7319,0.6685,0.3012,0.6128,0.2082
payload_group,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,5,0.8283,0.7184,0.6294,0.2418,0.6020,0.2026
payload_group,bio_plus_payload,antigen_name+cell_line+payload_identity,5,0.8354,0.7326,0.6451,0.2946,0.7087,0.2494
payload_group,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,5,0.8284,0.7184,0.6022,0.2086,0.6717,0.2338
payload_leave_one_out,global,<global>,22,0.8245,0.5000,0.5000,,0.5950,0.2021
payload_leave_one_out,mechanism_only,payload_mechanism,22,0.8245,0.5000,0.5000,,0.6659,0.2328
payload_leave_one_out,payload_only,payload_identity,22,0.8245,0.5000,0.5000,,0.6798,0.2433
payload_leave_one_out,antigen_only,antigen_name,22,0.8248,0.6243,0.5957,0.3196,0.6283,0.2143
payload_leave_one_out,cell_only,cell_line,22,0.8424,0.5767,0.5429,0.0664,0.6075,0.2062
payload_leave_one_out,bio,antigen_name+cell_line,22,0.8652,0.6580,0.5519,0.1530,0.6610,0.2260
payload_leave_one_out,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,22,0.8652,0.6569,0.5895,0.2258,0.7217,0.2517
payload_leave_one_out,bio_plus_payload,antigen_name+cell_line+payload_identity,22,0.8651,0.6579,0.5582,0.1855,0.8145,0.2852
payload_leave_one_out,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,22,0.8650,0.6581,0.5144,0.0962,0.8744,0.3076
cell_line_group,global,<global>,5,0.6665,0.5000,0.5000,,0.6109,0.2099
cell_line_group,mechanism_only,payload_mechanism,5,0.7654,0.5811,0.5242,0.0374,0.6123,0.2110
cell_line_group,payload_only,payload_identity,5,0.8419,0.6959,0.5557,0.1336,0.5802,0.1988
cell_line_group,antigen_only,antigen_name,5,0.8507,0.7091,0.6535,0.3041,0.5836,0.1943
cell_line_group,cell_only,cell_line,5,0.6665,0.5000,0.5000,,0.6331,0.2203
cell_line_group,bio,antigen_name+cell_line,5,0.8507,0.7091,0.6232,0.2368,0.6046,0.2039
cell_line_group,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,5,0.8366,0.6952,0.6247,0.2372,0.6132,0.2064
cell_line_group,bio_plus_payload,antigen_name+cell_line+payload_identity,5,0.8532,0.7202,0.6571,0.3099,0.6306,0.2119
cell_line_group,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,5,0.8505,0.7189,0.6473,0.3027,0.6553,0.2179
cell_antigen_context_group,global,<global>,5,0.7519,0.5000,0.5000,,0.6107,0.2098
cell_antigen_context_group,mechanism_only,payload_mechanism,5,0.8221,0.5763,0.5452,0.1274,0.6033,0.2069
cell_antigen_context_group,payload_only,payload_identity,5,0.8563,0.6868,0.5851,0.1961,0.5709,0.1945
cell_antigen_context_group,antigen_only,antigen_name,5,0.8509,0.7275,0.6495,0.3102,0.5603,0.1842
cell_antigen_context_group,cell_only,cell_line,5,0.7194,0.4810,0.4407,-0.1135,0.6835,0.2390
cell_antigen_context_group,bio,antigen_name+cell_line,5,0.8152,0.6799,0.6471,0.2786,0.6245,0.2108
cell_antigen_context_group,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,5,0.8144,0.6821,0.6516,0.2876,0.6309,0.2123
cell_antigen_context_group,bio_plus_payload,antigen_name+cell_line+payload_identity,5,0.8430,0.7157,0.6533,0.3023,0.6460,0.2110
cell_antigen_context_group,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,5,0.8431,0.7135,0.6458,0.2800,0.6711,0.2171
