split,model,features,aggregation,n,positives,prevalence,average_precision,roc_auc,balanced_accuracy,mcc,log_loss,brier,tp,tn,fp,fn
cell_antigen_context_group,antigen_only,antigen_name,pooled_predictions,609,428,0.7028,0.8180,0.7187,0.6533,0.2941,0.5603,0.1841,318,102,79,110
cell_antigen_context_group,bio,antigen_name+cell_line,pooled_predictions,609,428,0.7028,0.7921,0.6719,0.6537,0.2853,0.6244,0.2108,290,114,67,138
cell_antigen_context_group,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,pooled_predictions,609,428,0.7028,0.7929,0.6754,0.6576,0.2926,0.6308,0.2123,291,115,66,137
cell_antigen_context_group,bio_plus_payload,antigen_name+cell_line+payload_identity,pooled_predictions,609,428,0.7028,0.8204,0.7073,0.6547,0.2997,0.6459,0.2109,324,100,81,104
cell_antigen_context_group,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,pooled_predictions,609,428,0.7028,0.8179,0.7032,0.6456,0.2741,0.6710,0.2170,302,106,75,126
cell_antigen_context_group,cell_only,cell_line,pooled_predictions,609,428,0.7028,0.6665,0.4748,0.4395,-0.1218,0.6836,0.2391,109,113,68,319
cell_antigen_context_group,global,<global>,pooled_predictions,609,428,0.7028,0.6762,0.4506,0.5000,,0.6108,0.2098,428,0,181,0
cell_antigen_context_group,mechanism_only,payload_mechanism,pooled_predictions,609,428,0.7028,0.7526,0.5566,0.5504,0.1378,0.6033,0.2069,386,36,145,42
cell_antigen_context_group,payload_only,payload_identity,pooled_predictions,609,428,0.7028,0.8244,0.6618,0.5870,0.1841,0.5709,0.1945,344,67,114,84
cell_line_group,antigen_only,antigen_name,pooled_predictions,609,428,0.7028,0.8110,0.6911,0.6569,0.3132,0.5836,0.1943,340,94,87,88
cell_line_group,bio,antigen_name+cell_line,pooled_predictions,609,428,0.7028,0.8124,0.6928,0.6282,0.2345,0.6047,0.2039,254,120,61,174
cell_line_group,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,pooled_predictions,609,428,0.7028,0.8001,0.6782,0.6254,0.2323,0.6134,0.2064,280,108,73,148
cell_line_group,bio_plus_payload,antigen_name+cell_line+payload_identity,pooled_predictions,609,428,0.7028,0.8277,0.6964,0.6536,0.2869,0.6307,0.2120,297,111,70,131
cell_line_group,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,pooled_predictions,609,428,0.7028,0.8228,0.6925,0.6377,0.2614,0.6554,0.2179,307,101,80,121
cell_line_group,cell_only,cell_line,pooled_predictions,609,428,0.7028,0.6491,0.4503,0.5000,,0.6330,0.2203,0,181,0,428
cell_line_group,global,<global>,pooled_predictions,609,428,0.7028,0.6491,0.4503,0.5000,,0.6107,0.2098,428,0,181,0
cell_line_group,mechanism_only,payload_mechanism,pooled_predictions,609,428,0.7028,0.7362,0.5493,0.5428,0.0941,0.6122,0.2109,344,51,130,84
cell_line_group,payload_only,payload_identity,pooled_predictions,609,428,0.7028,0.8192,0.6549,0.5582,0.1167,0.5800,0.1987,317,68,113,111
payload_group,antigen_only,antigen_name,pooled_predictions,609,428,0.7028,0.7892,0.6186,0.6187,0.2175,0.6231,0.2114,260,114,67,168
payload_group,bio,antigen_name+cell_line,pooled_predictions,609,428,0.7028,0.8341,0.6805,0.6467,0.2788,0.6112,0.2077,310,103,78,118
payload_group,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,pooled_predictions,609,428,0.7028,0.8294,0.6819,0.6107,0.2159,0.6014,0.2024,317,87,94,111
payload_group,bio_plus_payload,antigen_name+cell_line+payload_identity,pooled_predictions,609,428,0.7028,0.8422,0.6931,0.6401,0.2562,0.7054,0.2487,250,126,55,178
payload_group,bio_plus_payload_plus_mechanism,antigen_name+cell_line+payload_identity+payload_mechanism,pooled_predictions,609,428,0.7028,0.8446,0.6949,0.6009,0.1852,0.6700,0.2337,259,108,73,169
payload_group,cell_only,cell_line,pooled_predictions,609,428,0.7028,0.7745,0.6207,0.6203,0.2202,0.5900,0.2000,233,126,55,195
payload_group,global,<global>,pooled_predictions,609,428,0.7028,0.6192,0.3353,0.5000,,0.6276,0.2168,428,0,181,0
payload_group,mechanism_only,payload_mechanism,pooled_predictions,609,428,0.7028,0.6815,0.3977,0.4879,-0.0253,0.6421,0.2224,316,43,138,112
payload_group,payload_only,payload_identity,pooled_predictions,609,428,0.7028,0.6835,0.3840,0.5000,,0.6816,0.2442,0,181,0,428
payload_leave_one_out,antigen_only,antigen_name,pooled_predictions,609,428,0.7028,0.7885,0.6160,0.6203,0.2227,0.6226,0.2114,278,107,74,150
payload_leave_one_out,bio,antigen_name+cell_line,pooled_predictions,609,428,0.7028,0.8333,0.6788,0.6186,0.2287,0.6116,0.2080,312,92,89,116
payload_leave_one_out,bio_plus_mechanism,antigen_name+cell_line+payload_mechanism,pooled_predictions,609,428,0.7028,0.8203,0.6666,0.6133,0.2239,0.6170,0.2083,324,85,96,104
payload_leave_one_out,bio_plus_payload,antigen_name+cell_line+payload_identity,pooled_predictions,609,428,0.7028,0.8361,0.6847,0.6357,0.2488,0.7103,0.2501,232,132,49,196
