split,fold,n,positives,prevalence,unique_payloads,unique_mechanisms,unique_antigens,unique_cell_lines,group_key,unique_groups
random_row,0,123,86,0.6992,19,3,27,90,<row>,
random_row,1,122,86,0.7049,17,3,22,88,<row>,
random_row,2,122,86,0.7049,20,3,22,89,<row>,
random_row,3,121,85,0.7025,16,3,22,96,<row>,
random_row,4,121,85,0.7025,15,3,21,87,<row>,
payload_group,0,164,106,0.6463,1,1,10,73,payload_identity,1
payload_group,1,112,91,0.8125,3,3,10,63,payload_identity,3
payload_group,2,111,95,0.8559,6,3,11,96,payload_identity,6
payload_group,3,111,55,0.4955,6,3,10,44,payload_identity,6
payload_group,4,111,81,0.7297,6,3,8,105,payload_identity,6
payload_leave_one_out,0,38,27,0.7105,1,1,1,38,payload_identity,1
payload_leave_one_out,1,5,4,0.8000,1,1,1,5,payload_identity,1
payload_leave_one_out,2,12,10,0.8333,1,1,2,12,payload_identity,1
payload_leave_one_out,3,1,1,1.0000,1,1,1,1,payload_identity,1
payload_leave_one_out,4,20,13,0.6500,1,1,3,18,payload_identity,1
payload_leave_one_out,5,3,0,0.0000,1,1,1,3,payload_identity,1
payload_leave_one_out,6,164,106,0.6463,1,1,10,73,payload_identity,1
payload_leave_one_out,7,27,27,1.0000,1,1,6,24,payload_identity,1
payload_leave_one_out,8,4,2,0.5000,1,1,1,4,payload_identity,1
payload_leave_one_out,9,51,45,0.8824,1,1,1,51,payload_identity,1
payload_leave_one_out,10,1,1,1.0000,1,1,1,1,payload_identity,1
payload_leave_one_out,11,38,15,0.3947,1,1,2,15,payload_identity,1
payload_leave_one_out,12,97,81,0.8351,1,1,7,48,payload_identity,1
payload_leave_one_out,13,2,2,1.0000,1,1,1,1,payload_identity,1
payload_leave_one_out,14,3,1,0.3333,1,1,1,3,payload_identity,1
payload_leave_one_out,15,47,35,0.7447,1,1,2,43,payload_identity,1
payload_leave_one_out,16,9,8,0.8889,1,1,1,9,payload_identity,1
payload_leave_one_out,17,4,4,1.0000,1,1,1,1,payload_identity,1
payload_leave_one_out,18,14,11,0.7857,1,1,3,14,payload_identity,1
payload_leave_one_out,19,7,5,0.7143,1,1,2,7,payload_identity,1
payload_leave_one_out,20,13,12,0.9231,1,1,2,12,payload_identity,1
payload_leave_one_out,21,49,18,0.3673,1,1,4,13,payload_identity,1
cell_line_group,0,122,89,0.7295,15,3,20,49,cell_line,49
cell_line_group,1,122,90,0.7377,18,3,23,49,cell_line,49
cell_line_group,2,122,84,0.6885,13,3,18,49,cell_line,49
cell_line_group,3,121,76,0.6281,18,3,20,48,cell_line,48
cell_line_group,4,122,89,0.7295,19,3,21,49,cell_line,49
cell_antigen_context_group,0,121,94,0.7769,17,3,23,67,cell_antigen_context,73
cell_antigen_context_group,1,122,85,0.6967,18,3,20,69,cell_antigen_context,74
cell_antigen_context_group,2,122,85,0.6967,16,3,21,67,cell_antigen_context,74
cell_antigen_context_group,3,122,85,0.6967,17,3,20,63,cell_antigen_context,74
cell_antigen_context_group,4,122,79,0.6475,15,3,20,70,cell_antigen_context,74
