adc_id,cell_line,antigen_name,payload_identity,payload_mechanism,labels,source_activity_rows,values_nM,activity_ids
DRG0BSQPI,NCI-H23 cells,Tumor-associated calcium signal transducer 2 (TACSTD2),PAY0BBRSF,Topo-I inhibitor,"0,1",2,3.41;18.83,ADCC000497;ADCC000498
DRG0BXRDQ,Raji cells,B-lymphocyte antigen CD20 (MS4A1),PAY0ZVBAI,Topo-I inhibitor,"0,1",2,4.88;246.6,ADCC006957;ADCC007003
DRG0CECRA,CVCL_0434,Receptor tyrosine-protein kinase erbB-2 (HER2),PAY0CJNCU,Topo-I inhibitor,"0,1",9,0.42;0.57;0.77;11.3;42.5;59.1;97.3;132.6;302.9,ADCC015326;ADCC015325;ADCC015327;ADCC015329;ADCC015331;ADCC015330;ADCC015333;ADCC015332;ADCC015328
DRG0EPHMC,OVCAR-3 cells,Mesothelin (MSLN),PAY0CLRJD,microtubule-disrupting,"0,1",2,1.59;10.9,ADCC001120;ADCC001158
DRG0JOHND,Kasumi-6 cells,Myeloid cell surface antigen CD33 (CD33),PAY0RZSDY,DNA-damaging,"0,1",2,0.1;20,ADCC004937;ADCC004877
DRG0JOHND,AML-193 cells,Myeloid cell surface antigen CD33 (CD33),PAY0RZSDY,DNA-damaging,"0,1",2,0.1;20,ADCC004936;ADCC004880
DRG0PTXBI,THP1-Lucia ISG cells,Epidermal growth factor receptor (EGFR),PAY0MQMQP,Other,"0,1",2,1.5;10000,ADCC002308;ADCC002309
DRG0RGMND,Raji cells,B-cell receptor CD22 (CD22),PAY0ZVBAI,Topo-I inhibitor,"0,1",7,0.19;1.16;1.72;2.1;2.45;2.88;135.8,ADCC006977;ADCC006976;ADCC006975;ADCC006948;ADCC006979;ADCC006978;ADCC007002
DRG0RGMND,Ramos cells,B-cell receptor CD22 (CD22),PAY0ZVBAI,Topo-I inhibitor,"0,1",8,0.51;0.73;1.84;2.21;2.29;2.92;152.3;271,ADCC006982;ADCC006981;ADCC006980;ADCC006983;ADCC006984;ADCC006949;ADCC007000;ADCC007001
DRG0VMKDY,BT-483 cells,Mucin-1 (MUC1),PAY0JCIBW,microtubule-disrupting,"0,1",2,0.1;30,ADCC003795;ADCC003809
DRG0VMKDY,HeLa cells,Mucin-1 (MUC1),PAY0JCIBW,microtubule-disrupting,"0,1",2,1.8;30,ADCC003798;ADCC003812
