adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0AFXBF,ADCC002235,Half Maximal Inhibitory Concentration (IC50),=,37.42,ug/mL,Other,non_molar_or_missing_value
DRG0AVDEL,ADCC003375,Half Maximal Effective Concentration (EC50),=,6.9,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0AVDEL,ADCC003376,Half Maximal Effective Concentration (EC50),<,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0AWYBA,ADCC002403,Inhibition rate (100nM),=,0.0,%,microtubule-disrupting,non_potency_endpoint
DRG0AWYBA,ADCC002402,Inhibition rate (100nM),=,0.0,%,microtubule-disrupting,non_potency_endpoint
DRG0AWYBA,ADCC002401,Inhibition rate (100nM),>,50.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BBQSE,ADCC000188,Half Maximal Inhibitory Concentration (IC50),=,1.2,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0BBQSE,ADCC000189,Half Maximal Inhibitory Concentration (IC50),=,3.4,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0BBQSE,ADCC000190,Half Maximal Inhibitory Concentration (IC50),=,4.7,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0BBQSE,ADCC000187,Half Maximal Inhibitory Concentration (IC50),=,37.8,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0BIVOI,ADCC008207,Max inhibition rate (MIR),=,60.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008206,Max inhibition rate (MIR),=,75.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008209,Max inhibition rate (MIR),=,86.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008211,Max inhibition rate (MIR),=,87.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008198,Max inhibition rate (MIR),=,91.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008201,Max inhibition rate (MIR),=,92.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008199,Max inhibition rate (MIR),=,95.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008208,Max inhibition rate (MIR),=,98.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008210,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008205,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008204,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008203,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008202,Max inhibition rate (MIR),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BIVOI,ADCC008200,Max inhibition rate (MIR),=,100.0,%,microtubule-disrupting,non_potency_endpoint
DRG0BRWYZ,ADCC001426,Half Maximum Growth Inhibitory Concentration (GI50),=,1.74,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0BTGYC,ADCC001915,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0BTGYC,ADCC001916,Half Maximal Effective Concentration (EC50),=,11.9,ug/mL,Other,non_molar_or_missing_value
DRG0CRHCH,ADCC006943,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0CRHCH,ADCC006941,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0CRHCH,ADCC006939,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0CRHCH,ADCC006937,Half Maximal Inhibitory Concentration (IC50),=,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0CYMEB,ADCC007082,Half Maximal Inhibitory Concentration (IC50),=,8.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYMEB,ADCC002190,Half Maximal Inhibitory Concentration (IC50),=,0.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYMEB,ADCC002194,Half Maximal Inhibitory Concentration (IC50),=,0.01,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYMEB,ADCC002192,Half Maximal Inhibitory Concentration (IC50),=,0.01,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYMEB,ADCC002191,Half Maximal Inhibitory Concentration (IC50),=,0.03,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYMEB,ADCC002193,Half Maximal Inhibitory Concentration (IC50),=,0.06,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYMEB,ADCC002195,Half Maximal Inhibitory Concentration (IC50),=,0.27,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYYHU,ADCC002242,Half Maximal Effective Concentration (EC50),=,0.05,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0CYYHU,ADCC002241,Half Maximal Effective Concentration (EC50),=,0.07,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
