cell_antigen_context,cell_line,antigen_name,mechanism_count,mechanisms,payload_context_units,input_observations,unique_payloads,mechanisms_with_2plus_payloads,all_mechanisms_have_2plus_payloads,payload_unit_response_mean,observation_prevalence,unit_response_min,unit_response_max,has_unit_response_variation,payload_units_by_mechanism,observations_by_mechanism,unit_response_by_mechanism,payloads_by_mechanism
MDA-MB-231 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),MDA-MB-231 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),3,DNA-damaging; Topo-I inhibitor; microtubule-disrupting,4,7,4,1,0,0.0000,0.0000,0.0000,0.0000,0,DNA-damaging=1; Topo-I inhibitor=1; microtubule-disrupting=2,DNA-damaging=1; Topo-I inhibitor=4; microtubule-disrupting=2,DNA-damaging=0.0000; Topo-I inhibitor=0.0000; microtubule-disrupting=0.0000,"DNA-damaging=PAY0QKJME; Topo-I inhibitor=PAY0ZVBAI; microtubule-disrupting=PAY0FSXOW,PAY0JCIBW"
SK-OV-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),SK-OV-3 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),3,DNA-damaging; Topo-I inhibitor; microtubule-disrupting,4,9,4,1,0,0.7500,0.5556,0.0000,1.0000,1,DNA-damaging=1; Topo-I inhibitor=1; microtubule-disrupting=2,DNA-damaging=1; Topo-I inhibitor=4; microtubule-disrupting=4,DNA-damaging=1.0000; Topo-I inhibitor=0.0000; microtubule-disrupting=1.0000,"DNA-damaging=PAY0QKJME; Topo-I inhibitor=PAY0ZVBAI; microtubule-disrupting=PAY0FSXOW,PAY0VZVPQ"
MCF-7 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),MCF-7 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),2,Topo-I inhibitor; microtubule-disrupting,4,9,4,1,0,0.0000,0.0000,0.0000,0.0000,0,Topo-I inhibitor=1; microtubule-disrupting=3,Topo-I inhibitor=4; microtubule-disrupting=5,Topo-I inhibitor=0.0000; microtubule-disrupting=0.0000,"Topo-I inhibitor=PAY0ZVBAI; microtubule-disrupting=PAY0FSXOW,PAY0JCIBW,PAY0VZVPQ"
NCI-N87 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),NCI-N87 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),2,DNA-damaging; microtubule-disrupting,4,10,4,1,0,0.7143,0.8000,0.0000,1.0000,1,DNA-damaging=1; microtubule-disrupting=3,DNA-damaging=1; microtubule-disrupting=9,DNA-damaging=0.0000; microtubule-disrupting=0.9524,"DNA-damaging=PAY0QKJME; microtubule-disrupting=PAY0FSXOW,PAY0JCIBW,PAY0VZVPQ"
SK-BR-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),SK-BR-3 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),2,DNA-damaging; microtubule-disrupting,4,11,4,1,0,1.0000,1.0000,1.0000,1.0000,0,DNA-damaging=1; microtubule-disrupting=3,DNA-damaging=2; microtubule-disrupting=9,DNA-damaging=1.0000; microtubule-disrupting=1.0000,"DNA-damaging=PAY0LZRXU; microtubule-disrupting=PAY0FSXOW,PAY0JCIBW,PAY0VZVPQ"
A375.S2 cells || CD276 antigen (CD276),A375.S2 cells,CD276 antigen (CD276),2,DNA-damaging; microtubule-disrupting,2,5,2,0,0,1.0000,1.0000,1.0000,1.0000,0,DNA-damaging=1; microtubule-disrupting=1,DNA-damaging=1; microtubule-disrupting=4,DNA-damaging=1.0000; microtubule-disrupting=1.0000,DNA-damaging=PAY0SOSMQ; microtubule-disrupting=PAY0FSXOW
CVCL_0033 || Receptor tyrosine-protein kinase erbB-2 (HER2),CVCL_0033,Receptor tyrosine-protein kinase erbB-2 (HER2),2,Topo-I inhibitor; microtubule-disrupting,2,2,2,0,0,1.0000,1.0000,1.0000,1.0000,0,Topo-I inhibitor=1; microtubule-disrupting=1,Topo-I inhibitor=1; microtubule-disrupting=1,Topo-I inhibitor=1.0000; microtubule-disrupting=1.0000,Topo-I inhibitor=PAY0WSZPJ; microtubule-disrupting=PAY0FSXOW
CVCL_0479 || Cadherin-6 (CDH6),CVCL_0479,Cadherin-6 (CDH6),2,Topo-I inhibitor; microtubule-disrupting,2,5,2,0,0,1.0000,1.0000,1.0000,1.0000,0,Topo-I inhibitor=1; microtubule-disrupting=1,Topo-I inhibitor=4; microtubule-disrupting=1,Topo-I inhibitor=1.0000; microtubule-disrupting=1.0000,Topo-I inhibitor=PAY0UXDSB; microtubule-disrupting=PAY0GTSVM
Calu-6 cells || CD276 antigen (CD276),Calu-6 cells,CD276 antigen (CD276),2,DNA-damaging; microtubule-disrupting,2,5,2,0,0,1.0000,1.0000,1.0000,1.0000,0,DNA-damaging=1; microtubule-disrupting=1,DNA-damaging=1; microtubule-disrupting=4,DNA-damaging=1.0000; microtubule-disrupting=1.0000,DNA-damaging=PAY0SOSMQ; microtubule-disrupting=PAY0FSXOW
Daudi cells || B-cell receptor CD22 (CD22),Daudi cells,B-cell receptor CD22 (CD22),2,DNA-damaging; Topo-I inhibitor,2,2,2,0,0,1.0000,1.0000,1.0000,1.0000,0,DNA-damaging=1; Topo-I inhibitor=1,DNA-damaging=1; Topo-I inhibitor=1,DNA-damaging=1.0000; Topo-I inhibitor=1.0000,DNA-damaging=PAY0RZSDY; Topo-I inhibitor=PAY0ZVBAI
HCT 15 cells || Epidermal growth factor receptor (EGFR),HCT 15 cells,Epidermal growth factor receptor (EGFR),2,DNA-damaging; microtubule-disrupting,2,2,2,0,0,0.0000,0.0000,0.0000,0.0000,0,DNA-damaging=1; microtubule-disrupting=1,DNA-damaging=1; microtubule-disrupting=1,DNA-damaging=0.0000; microtubule-disrupting=0.0000,DNA-damaging=PAY0AKDAM; microtubule-disrupting=PAY0FSXOW
Hs 700T cells || CD276 antigen (CD276),Hs 700T cells,CD276 antigen (CD276),2,DNA-damaging; microtubule-disrupting,2,5,2,0,0,1.0000,1.0000,1.0000,1.0000,0,DNA-damaging=1; microtubule-disrupting=1,DNA-damaging=1; microtubule-disrupting=4,DNA-damaging=1.0000; microtubule-disrupting=1.0000,DNA-damaging=PAY0SOSMQ; microtubule-disrupting=PAY0FSXOW
LoVo cells || Epidermal growth factor receptor (EGFR),LoVo cells,Epidermal growth factor receptor (EGFR),2,DNA-damaging; microtubule-disrupting,2,2,2,0,0,1.0000,1.0000,1.0000,1.0000,0,DNA-damaging=1; microtubule-disrupting=1,DNA-damaging=1; microtubule-disrupting=1,DNA-damaging=1.0000; microtubule-disrupting=1.0000,DNA-damaging=PAY0AKDAM; microtubule-disrupting=PAY0FSXOW
