mechanism_a,mechanism_b,held_out_payload,held_out_mechanism,observed_statistic,remaining_crossed_contexts,remaining_payload_context_units,leave_one_payload_out_statistic,statistic_unavailable,sign_changed,analysis,remaining_matched_contexts
DNA-damaging,microtubule-disrupting,PAY0AKDAM,DNA-damaging,0.0030,12,30,-0.0794,0,1,,
DNA-damaging,microtubule-disrupting,PAY0FSXOW,microtubule-disrupting,0.0030,4,10,-0.2500,0,1,,
DNA-damaging,microtubule-disrupting,PAY0JCIBW,microtubule-disrupting,0.0030,16,35,0.0045,0,0,,
DNA-damaging,microtubule-disrupting,PAY0LZRXU,DNA-damaging,0.0030,15,34,0.0032,0,0,,
DNA-damaging,microtubule-disrupting,PAY0QKJME,DNA-damaging,0.0030,13,28,0.0769,0,0,,
DNA-damaging,microtubule-disrupting,PAY0SOSMQ,DNA-damaging,0.0030,9,24,0.0053,0,0,,
DNA-damaging,microtubule-disrupting,PAY0VZVPQ,microtubule-disrupting,0.0030,16,35,0.0045,0,0,,
DNA-damaging,microtubule-disrupting,PAY0XBVCC,DNA-damaging,0.0030,15,36,0.0032,0,0,,
DNA-damaging,Topo-I inhibitor,PAY0QKJME,DNA-damaging,0.3571,5,10,0.3000,0,0,,
DNA-damaging,Topo-I inhibitor,PAY0RZSDY,DNA-damaging,0.3571,2,4,0.5000,0,0,,
DNA-damaging,Topo-I inhibitor,PAY0ZVBAI,Topo-I inhibitor,0.3571,0,0,,1,0,,
Topo-I inhibitor,microtubule-disrupting,PAY0FSXOW,microtubule-disrupting,-0.2000,4,9,-0.2500,0,0,,
Topo-I inhibitor,microtubule-disrupting,PAY0GTSVM,microtubule-disrupting,-0.2000,4,12,-0.2500,0,0,,
Topo-I inhibitor,microtubule-disrupting,PAY0JCIBW,microtubule-disrupting,-0.2000,5,12,-0.2000,0,0,,
Topo-I inhibitor,microtubule-disrupting,PAY0UXDSB,Topo-I inhibitor,-0.2000,4,12,-0.2500,0,0,,
Topo-I inhibitor,microtubule-disrupting,PAY0VZVPQ,microtubule-disrupting,-0.2000,5,12,-0.2000,0,0,,
Topo-I inhibitor,microtubule-disrupting,PAY0WSZPJ,Topo-I inhibitor,-0.2000,4,12,-0.2500,0,0,,
Topo-I inhibitor,microtubule-disrupting,PAY0ZVBAI,Topo-I inhibitor,-0.2000,2,4,0.0000,0,1,,
,,PAY0AKDAM,DNA-damaging,0.1874,,50,0.2028,0,,all_mechanisms_context_fixed_residual_range,20
,,PAY0FSXOW,microtubule-disrupting,0.1874,,27,0.2685,0,,all_mechanisms_context_fixed_residual_range,11
,,PAY0GTSVM,microtubule-disrupting,0.1874,,56,0.2041,0,,all_mechanisms_context_fixed_residual_range,23
,,PAY0JCIBW,microtubule-disrupting,0.1874,,54,0.1920,0,,all_mechanisms_context_fixed_residual_range,24
,,PAY0LZRXU,DNA-damaging,0.1874,,54,0.1893,0,,all_mechanisms_context_fixed_residual_range,23
,,PAY0QKJME,DNA-damaging,0.1874,,52,0.2111,0,,all_mechanisms_context_fixed_residual_range,23
,,PAY0RZSDY,DNA-damaging,0.1874,,48,0.1765,0,,all_mechanisms_context_fixed_residual_range,19
,,PAY0SOSMQ,DNA-damaging,0.1874,,44,0.2061,0,,all_mechanisms_context_fixed_residual_range,17
,,PAY0UXDSB,Topo-I inhibitor,0.1874,,56,0.2041,0,,all_mechanisms_context_fixed_residual_range,23
,,PAY0VZVPQ,microtubule-disrupting,0.1874,,54,0.1876,0,,all_mechanisms_context_fixed_residual_range,24
,,PAY0WSZPJ,Topo-I inhibitor,0.1874,,56,0.2041,0,,all_mechanisms_context_fixed_residual_range,23
,,PAY0XBVCC,DNA-damaging,0.1874,,56,0.1893,0,,all_mechanisms_context_fixed_residual_range,23
,,PAY0ZVBAI,Topo-I inhibitor,0.1874,,42,0.0223,0,,all_mechanisms_context_fixed_residual_range,18
