cell_antigen_context,cell_line,antigen_name,mechanism_a,mechanism_b,payload_units_a,payload_units_b,input_observations_a,input_observations_b,unique_payloads_a,unique_payloads_b,unit_response_a,unit_response_b,unit_response_diff_a_minus_b,observation_prevalence_a,observation_prevalence_b,observation_prevalence_diff_a_minus_b,a_higher,b_higher,equal,both_arms_2plus_payloads,either_arm_2plus_payloads,has_unit_response_difference,payloads_a,payloads_b,payload_pairing_signature
SK-OV-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),SK-OV-3 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),DNA-damaging,Topo-I inhibitor,1,1,1,4,1,1,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1,0,0,0,0,1,PAY0QKJME,PAY0ZVBAI,PAY0QKJME|PAY0ZVBAI
Raji cells || B-cell receptor CD22 (CD22),Raji cells,B-cell receptor CD22 (CD22),DNA-damaging,Topo-I inhibitor,1,1,1,2,1,1,1.0000,0.5000,0.5000,1.0000,0.5000,0.5000,1,0,0,0,0,1,PAY0RZSDY,PAY0ZVBAI,PAY0RZSDY|PAY0ZVBAI
Ramos cells || B-cell receptor CD22 (CD22),Ramos cells,B-cell receptor CD22 (CD22),DNA-damaging,Topo-I inhibitor,1,1,1,2,1,1,1.0000,0.5000,0.5000,1.0000,0.5000,0.5000,1,0,0,0,0,1,PAY0RZSDY,PAY0ZVBAI,PAY0RZSDY|PAY0ZVBAI
Reh cells || B-cell receptor CD22 (CD22),Reh cells,B-cell receptor CD22 (CD22),DNA-damaging,Topo-I inhibitor,1,1,1,2,1,1,1.0000,0.5000,0.5000,1.0000,0.5000,0.5000,1,0,0,0,0,1,PAY0RZSDY,PAY0ZVBAI,PAY0RZSDY|PAY0ZVBAI
Daudi cells || B-cell receptor CD22 (CD22),Daudi cells,B-cell receptor CD22 (CD22),DNA-damaging,Topo-I inhibitor,1,1,1,1,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0RZSDY,PAY0ZVBAI,PAY0RZSDY|PAY0ZVBAI
MDA-MB-231 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),MDA-MB-231 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),DNA-damaging,Topo-I inhibitor,1,1,1,4,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,0,0,PAY0QKJME,PAY0ZVBAI,PAY0QKJME|PAY0ZVBAI
RS4 11 cells || B-cell receptor CD22 (CD22),RS4 11 cells,B-cell receptor CD22 (CD22),DNA-damaging,Topo-I inhibitor,1,1,1,1,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0RZSDY,PAY0ZVBAI,PAY0RZSDY|PAY0ZVBAI
SW620 cells || Epidermal growth factor receptor (EGFR),SW620 cells,Epidermal growth factor receptor (EGFR),DNA-damaging,microtubule-disrupting,1,1,1,1,1,1,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1,0,0,0,0,1,PAY0AKDAM,PAY0FSXOW,PAY0AKDAM|PAY0FSXOW
NCI-N87 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),NCI-N87 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),DNA-damaging,microtubule-disrupting,1,3,1,9,1,3,0.0000,0.9524,-0.9524,0.0000,0.8889,-0.8889,0,1,0,0,1,1,PAY0QKJME,PAY0FSXOW;PAY0JCIBW;PAY0VZVPQ,PAY0QKJME|PAY0FSXOW;PAY0QKJME|PAY0JCIBW;PAY0QKJME|PAY0VZVPQ
A375.S2 cells || CD276 antigen (CD276),A375.S2 cells,CD276 antigen (CD276),DNA-damaging,microtubule-disrupting,1,1,1,4,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0SOSMQ,PAY0FSXOW,PAY0SOSMQ|PAY0FSXOW
