mechanism_a,mechanism_b,payload_pairing_signature,contexts,a_higher_contexts,b_higher_contexts,equal_contexts,example_contexts
DNA-damaging,Topo-I inhibitor,PAY0RZSDY|PAY0ZVBAI,5,3,0,2,Raji cells || B-cell receptor CD22 (CD22); Ramos cells || B-cell receptor CD22 (CD22); Reh cells || B-cell receptor CD22 (CD22); Daudi cells || B-cell receptor CD22 (CD22); RS4 11 cells || B-cell receptor CD22 (CD22)
DNA-damaging,Topo-I inhibitor,PAY0QKJME|PAY0ZVBAI,2,1,0,1,SK-OV-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2); MDA-MB-231 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
DNA-damaging,microtubule-disrupting,PAY0SOSMQ|PAY0FSXOW,7,0,0,7,A375.S2 cells || CD276 antigen (CD276); Calu-6 cells || CD276 antigen (CD276); Hs 700T cells || CD276 antigen (CD276); MDA-MB-468 cells || CD276 antigen (CD276); NCI-H1703 cells || CD276 antigen (CD276)
DNA-damaging,microtubule-disrupting,PAY0AKDAM|PAY0FSXOW,4,1,0,3,SW620 cells || Epidermal growth factor receptor (EGFR); HCT 15 cells || Epidermal growth factor receptor (EGFR); LoVo cells || Epidermal growth factor receptor (EGFR); U-87MG cells || Epidermal growth factor receptor (EGFR)
DNA-damaging,microtubule-disrupting,PAY0LZRXU|PAY0FSXOW;PAY0LZRXU|PAY0JCIBW;PAY0LZRXU|PAY0VZVPQ,1,0,0,1,SK-BR-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
DNA-damaging,microtubule-disrupting,PAY0QKJME|PAY0FSXOW;PAY0QKJME|PAY0JCIBW,1,0,0,1,MDA-MB-231 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
DNA-damaging,microtubule-disrupting,PAY0QKJME|PAY0FSXOW;PAY0QKJME|PAY0JCIBW;PAY0QKJME|PAY0VZVPQ,1,0,1,0,NCI-N87 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
DNA-damaging,microtubule-disrupting,PAY0QKJME|PAY0FSXOW;PAY0QKJME|PAY0VZVPQ,1,0,0,1,SK-OV-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
DNA-damaging,microtubule-disrupting,PAY0XBVCC|PAY0FSXOW,1,0,0,1,MDA-MB-231 cells || Tyrosine-protein kinase receptor UFO (AXL)
Topo-I inhibitor,microtubule-disrupting,PAY0UXDSB|PAY0GTSVM,1,0,0,1,CVCL_0479 || Cadherin-6 (CDH6)
Topo-I inhibitor,microtubule-disrupting,PAY0WSZPJ|PAY0FSXOW,1,0,0,1,CVCL_0033 || Receptor tyrosine-protein kinase erbB-2 (HER2)
Topo-I inhibitor,microtubule-disrupting,PAY0ZVBAI|PAY0FSXOW;PAY0ZVBAI|PAY0JCIBW,1,0,0,1,MDA-MB-231 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
Topo-I inhibitor,microtubule-disrupting,PAY0ZVBAI|PAY0FSXOW;PAY0ZVBAI|PAY0JCIBW;PAY0ZVBAI|PAY0VZVPQ,1,0,0,1,MCF-7 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
Topo-I inhibitor,microtubule-disrupting,PAY0ZVBAI|PAY0FSXOW;PAY0ZVBAI|PAY0VZVPQ,1,0,1,0,SK-OV-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2)
