payload_context_unit_id,cell_antigen_context,cell_line,antigen_name,payload_mechanism,payload_identity,payload_name,payload_target,input_observations,unique_adcs,adc_ids,positives,negatives,response_rate,response_any,response_all,has_repeated_observations,has_discordant_repeated_labels,value_nM_min,source_activity_rows_total
A375.S2 cells || CD276 antigen (CD276) || DNA-damaging || PAY0SOSMQ,A375.S2 cells || CD276 antigen (CD276),A375.S2 cells,CD276 antigen (CD276),DNA-damaging,PAY0SOSMQ,Seco-DUBA,Human deoxyribonucleic acid (hDNA),1,1,DRG0DEGEG,1,0,1.0,1,1,0,0,0.181,1
A375.S2 cells || CD276 antigen (CD276) || microtubule-disrupting || PAY0FSXOW,A375.S2 cells || CD276 antigen (CD276),A375.S2 cells,CD276 antigen (CD276),microtubule-disrupting,PAY0FSXOW,Monomethyl auristatin E,Microtubule (MT),4,4,DRG0HVHRQ;DRG0NGUFC;DRG0QMQFL;DRG0XHGCX,4,0,1.0,1,1,1,0,0.15,4
CVCL_0033 || Receptor tyrosine-protein kinase erbB-2 (HER2) || Topo-I inhibitor || PAY0WSZPJ,CVCL_0033 || Receptor tyrosine-protein kinase erbB-2 (HER2),CVCL_0033,Receptor tyrosine-protein kinase erbB-2 (HER2),Topo-I inhibitor,PAY0WSZPJ,DXd,DNA topoisomerase 1 (TOP1),1,1,DRG0ERKBH,1,0,1.0,1,1,0,0,0.0652,1
CVCL_0033 || Receptor tyrosine-protein kinase erbB-2 (HER2) || microtubule-disrupting || PAY0FSXOW,CVCL_0033 || Receptor tyrosine-protein kinase erbB-2 (HER2),CVCL_0033,Receptor tyrosine-protein kinase erbB-2 (HER2),microtubule-disrupting,PAY0FSXOW,Monomethyl auristatin E,Microtubule (MT),1,1,DRG0BZNZA,1,0,1.0,1,1,0,0,2.3,1
CVCL_0479 || Cadherin-6 (CDH6) || Topo-I inhibitor || PAY0UXDSB,CVCL_0479 || Cadherin-6 (CDH6),CVCL_0479,Cadherin-6 (CDH6),Topo-I inhibitor,PAY0UXDSB,DX-8951 derivative (DXd),DNA topoisomerase 1 (TOP1),4,4,DRG0BWNUI;DRG0EFAMN;DRG0SLFJV;DRG0ZBRFQ,4,0,1.0,1,1,1,0,0.01,4
CVCL_0479 || Cadherin-6 (CDH6) || microtubule-disrupting || PAY0GTSVM,CVCL_0479 || Cadherin-6 (CDH6),CVCL_0479,Cadherin-6 (CDH6),microtubule-disrupting,PAY0GTSVM,Mertansine DM4,Microtubule (MT),1,1,DRG0XGLSR,1,0,1.0,1,1,0,0,1.0,1
Calu-6 cells || CD276 antigen (CD276) || DNA-damaging || PAY0SOSMQ,Calu-6 cells || CD276 antigen (CD276),Calu-6 cells,CD276 antigen (CD276),DNA-damaging,PAY0SOSMQ,Seco-DUBA,Human deoxyribonucleic acid (hDNA),1,1,DRG0DEGEG,1,0,1.0,1,1,0,0,0.26,1
Calu-6 cells || CD276 antigen (CD276) || microtubule-disrupting || PAY0FSXOW,Calu-6 cells || CD276 antigen (CD276),Calu-6 cells,CD276 antigen (CD276),microtubule-disrupting,PAY0FSXOW,Monomethyl auristatin E,Microtubule (MT),4,4,DRG0HVHRQ;DRG0NGUFC;DRG0QMQFL;DRG0XHGCX,4,0,1.0,1,1,1,0,0.03,4
Daudi cells || B-cell receptor CD22 (CD22) || DNA-damaging || PAY0RZSDY,Daudi cells || B-cell receptor CD22 (CD22),Daudi cells,B-cell receptor CD22 (CD22),DNA-damaging,PAY0RZSDY,N-acetyl-gamma-calicheamicin,Human deoxyribonucleic acid (hDNA),1,1,DRG0SXFSY,1,0,1.0,1,1,0,0,0.005,3
Daudi cells || B-cell receptor CD22 (CD22) || Topo-I inhibitor || PAY0ZVBAI,Daudi cells || B-cell receptor CD22 (CD22),Daudi cells,B-cell receptor CD22 (CD22),Topo-I inhibitor,PAY0ZVBAI,Active metabolite of irinotecan SN38,DNA topoisomerase 1 (TOP1),1,1,DRG0RGMND,1,0,1.0,1,1,0,0,0.06,6
HCT 15 cells || Epidermal growth factor receptor (EGFR) || DNA-damaging || PAY0AKDAM,HCT 15 cells || Epidermal growth factor receptor (EGFR),HCT 15 cells,Epidermal growth factor receptor (EGFR),DNA-damaging,PAY0AKDAM,SGD-1882,Human deoxyribonucleic acid (hDNA),1,1,DRG0CXFTH,0,1,0.0,0,0,0,0,28.4,1
