adc_id,adc_name,drug_status,antibody_name,antigen_id,antigen_name,payload_id,payload_name,payload_identity,payload_target,payload_mechanism,linker_name,cell_line,disease_model,value_nM_min,label_10nM,source_activity_rows,has_conflicting_10nM_labels,source_activity_ids,source_url,cell_antigen_context
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,A-172 cells,Glioblastoma,23.2,0,1,0,ADCC001058,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,A-172 cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,CHLA-03-AA cells,Anaplastic astrocytoma,4.8,1,1,0,ADCC001071,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,CHLA-03-AA cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,COLO 201 cells,Colon adenocarcinoma,2.6,1,1,0,ADCC001082,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,COLO 201 cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,COLO 205 cells,Colon adenocarcinoma,3.3,1,1,0,ADCC001097,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,COLO 205 cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,COLO 320DM cells,Colon adenocarcinoma,17.6,0,1,0,ADCC001100,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,COLO 320DM cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,COLO 320HSR cells,Colon adenocarcinoma,24.9,0,1,0,ADCC001098,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,COLO 320HSR cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,Caco-2 cells,Colon adenocarcinoma,13.9,0,1,0,ADCC001092,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,Caco-2 cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,DBTRG-05MG cells,Anaplastic astrocytoma,18,0,1,0,ADCC001066,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,DBTRG-05MG cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,DLD-1 cells,Colon adenocarcinoma,9,1,1,0,ADCC001080,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,DLD-1 cells || Epidermal growth factor receptor (EGFR)
DRG0CXFTH,Serclutamab talirine,Phase 1 (discontinued),Serclutamab,TAR0UYFIF,Epidermal growth factor receptor (EGFR),PAY0AKDAM,SGD-1882,PAY0AKDAM,Human deoxyribonucleic acid (hDNA),DNA-damaging,Mc-Val-Ala,HCT 116 cells,Colon carcinoma,12,0,1,0,ADCC001081,https://adcdb.idrblab.net/data/adc/details/DRG0CXFTH,HCT 116 cells || Epidermal growth factor receptor (EGFR)
