split,fold,model,score,threshold,predicted_label,label_10nM,adc_id,payload_identity,payload_mechanism,antigen_name,cell_line,cell_antigen_context,error_type,confidence
payload_group,4,bio_plus_mechanism,0.86660366,0.34109192,1,0,DRG0CXFTH,PAY0AKDAM,DNA-damaging,Epidermal growth factor receptor (EGFR),COLO 320DM cells,COLO 320DM cells || Epidermal growth factor receptor (EGFR),false_positive,0.52551174
payload_group,4,bio_plus_mechanism,0.86660366,0.34109192,1,0,DRG0CXFTH,PAY0AKDAM,DNA-damaging,Epidermal growth factor receptor (EGFR),COLO 320HSR cells,COLO 320HSR cells || Epidermal growth factor receptor (EGFR),false_positive,0.52551174
payload_group,4,bio_plus_mechanism,0.86660366,0.34109192,1,0,DRG0CXFTH,PAY0AKDAM,DNA-damaging,Epidermal growth factor receptor (EGFR),DBTRG-05MG cells,DBTRG-05MG cells || Epidermal growth factor receptor (EGFR),false_positive,0.52551174
payload_group,4,bio_plus_mechanism,0.86660366,0.34109192,1,0,DRG0CXFTH,PAY0AKDAM,DNA-damaging,Epidermal growth factor receptor (EGFR),HCT 116 cells,HCT 116 cells || Epidermal growth factor receptor (EGFR),false_positive,0.52551174
payload_group,4,bio_plus_mechanism,0.86660366,0.34109192,1,0,DRG0CXFTH,PAY0AKDAM,DNA-damaging,Epidermal growth factor receptor (EGFR),T84 cells,T84 cells || Epidermal growth factor receptor (EGFR),false_positive,0.52551174
payload_group,4,bio_plus_mechanism,0.86660366,0.34109192,1,0,DRG0CXFTH,PAY0AKDAM,DNA-damaging,Epidermal growth factor receptor (EGFR),U-138MG cells,U-138MG cells || Epidermal growth factor receptor (EGFR),false_positive,0.52551174
payload_group,2,bio_plus_mechanism,0.05728377,0.55303858,0,1,DRG0EPHMC,PAY0CLRJD,microtubule-disrupting,Mesothelin (MSLN),BG1 cells,BG1 cells || Mesothelin (MSLN),false_negative,0.49575481
payload_group,2,bio_plus_mechanism,0.05728377,0.55303858,0,1,DRG0EPHMC,PAY0CLRJD,microtubule-disrupting,Mesothelin (MSLN),HT-29 cells,HT-29 cells || Mesothelin (MSLN),false_negative,0.49575481
payload_group,2,bio_plus_mechanism,0.05728377,0.55303858,0,1,DRG0EPHMC,PAY0CLRJD,microtubule-disrupting,Mesothelin (MSLN),HT-29 cells (MSLN expression),HT-29 cells (MSLN expression) || Mesothelin (MSLN),false_negative,0.49575481
payload_group,2,bio_plus_mechanism,0.05728377,0.55303858,0,1,DRG0EPHMC,PAY0CLRJD,microtubule-disrupting,Mesothelin (MSLN),MIA PaCa-2 cells,MIA PaCa-2 cells || Mesothelin (MSLN),false_negative,0.49575481
