split,model,features,aggregation,n,positives,prevalence,average_precision,roc_auc,balanced_accuracy,mcc,log_loss,brier,tp,tn,fp,fn,repeat
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8002,0.6593,0.6307,0.2541,0.6433,0.2179,320,93,88,108,0
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8179,0.6559,0.5909,0.1799,0.6480,0.2227,319,79,102,109,1
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8348,0.7016,0.6622,0.3342,0.5793,0.1959,354,90,91,74,2
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8135,0.6395,0.5730,0.1603,0.6841,0.2316,351,59,122,77,3
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8102,0.6375,0.5844,0.1867,0.6705,0.2241,356,61,120,72,4
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8326,0.6743,0.6251,0.2309,0.6236,0.2153,275,110,71,153,5
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8022,0.6638,0.6244,0.2443,0.6144,0.2074,324,89,92,104,6
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8335,0.6806,0.6093,0.2088,0.6258,0.2076,304,92,89,124,7
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8079,0.6430,0.5981,0.1905,0.6726,0.2265,311,85,96,117,8
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8228,0.6840,0.6314,0.2787,0.6201,0.2091,356,78,103,72,9
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8410,0.6945,0.6094,0.2161,0.5991,0.2021,323,84,97,105,10
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8709,0.7489,0.6841,0.3483,0.5666,0.1868,316,114,67,112,11
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8006,0.6271,0.5704,0.1406,0.6859,0.2331,318,72,109,110,12
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8431,0.6935,0.6710,0.3264,0.6257,0.2100,319,108,73,109,13
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8253,0.6676,0.5855,0.1608,0.6476,0.2201,286,91,90,142,14
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8456,0.7003,0.6526,0.2888,0.6094,0.2006,308,106,75,120,15
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8381,0.6811,0.6236,0.2415,0.6160,0.2088,321,90,91,107,16
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8058,0.6494,0.6230,0.2488,0.6601,0.2201,337,83,98,91,17
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8472,0.7003,0.6244,0.2345,0.6024,0.2002,298,100,81,130,18
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8271,0.6750,0.6404,0.2664,0.6199,0.2113,307,102,79,121,19
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8288,0.6667,0.5973,0.1903,0.6254,0.2149,315,83,98,113,20
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8330,0.6854,0.6267,0.2496,0.6191,0.2120,326,89,92,102,21
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8155,0.6554,0.6040,0.2031,0.6515,0.2205,316,85,96,112,22
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8456,0.6971,0.6345,0.2564,0.6057,0.2081,309,99,82,119,23
payload_group,bio_plus_shuffled_mechanism,antigen_name+cell_line+payload_mechanism_shuffled,pooled_predictions,609,428,0.7028,0.8048,0.6440,0.6067,0.2083,0.6666,0.2300,316,86,95,112,24
